Target,Ligand,expddg,mean_plddt,ranking_confidence,ligand_rmsd,kabsch_rmsd,global_rmsd_ca,pocket_rmsd_ca,global_rmsd_aa,pocket_rmsd_aa
PTP1B,23471,-7.75184064198728,94.65274358514259,0.9326264165375187,1.402704729085918,0.8317790056138953,0.4160229861736297,0.26678067445755,0.7990965843200684,0.6726959347724915
PTP1B,23486,-12.4697848806838,94.72325222482088,0.9374757689985582,0.7198577922062105,0.1994757405128833,0.575225293636322,0.2669004797935486,0.9893720149993896,0.6752565503120422
PTP1B,23483,-9.8746881466035,94.7519082802849,0.9497433985310946,1.3113427742203791,0.9916149981172422,0.5526503324508667,0.2411666363477707,0.9831030368804932,0.6545236706733704
PTP1B,23474,-9.11205847715563,95.1652373688318,0.9694279874975802,0.8931765270650592,0.1279666219151916,0.5540857315063477,0.2850593030452728,0.9658826589584352,0.6509857773780823
PTP1B,20669(2qbr),-8.60732535283582,95.2205461299956,0.9674263422004841,1.327829204754888,0.9806346017679688,0.5501071214675903,0.2900571227073669,0.9623042941093444,0.6680074334144592
PTP1B,20667(2qbp),-11.4230277784695,94.77213429747519,0.9337664233689666,0.791150810528561,0.1230133614557363,0.5323788523674011,0.2618972063064575,0.917631983757019,0.6857203841209412
PTP1B,23479,-9.14235922654499,95.27619603143036,0.9555432015780326,1.1877879118344312,0.7069783005391073,0.5545982718467712,0.2924004197120666,0.9840642213821412,0.6308190226554871
PTP1B,23475,-8.71754822596421,95.49021240880194,0.9713996404118973,0.9974780882305126,0.7083058312169845,0.5474865436553955,0.2725147604942322,0.9517868757247924,0.6610084176063538
PTP1B,23470,-7.72301857947764,94.9081879732977,0.9104198338672842,0.6454048365173592,0.222907019144788,0.5295650362968445,0.2682594060897827,0.9270945191383362,0.6673247814178467
PTP1B,23466,-7.84784627805605,95.25428859356238,0.9696112309882385,1.9572138849650524,1.6179645555894615,0.56534743309021,0.2670019567012787,0.9812807440757751,0.6554291844367981
Thrombin,6b,-8.89,96.55455423643323,0.985197520021156,1.4821559967986344,1.3295492994532594,0.5036998391151428,0.2318420857191085,1.0719172954559326,0.588426411151886
Thrombin,3a,-8.32,96.13683542047073,0.9810837282864103,1.196912379030697,0.9978616780322432,0.5355855226516724,0.2408666908740997,1.1022228002548218,0.6305672526359558
Thrombin,6e,-8.91,96.72376595128192,0.9859258371843002,0.8745112668051972,0.5051430793325328,0.5510940551757812,0.2332151979207992,1.118667483329773,0.5833174586296082
Thrombin,5,-7.58,96.64936973630914,0.9749143548742155,0.4846683314788181,0.3507718884357682,0.5568199157714844,0.220165342092514,1.1165659427642822,0.603132426738739
Thrombin,1d,-8.25,96.58437366090605,0.9842440944003756,1.14430741045201,0.9779031237066542,0.5504046678543091,0.2267830669879913,1.1084113121032717,0.5865097045898438
Thrombin,6a,-9.18,96.59669225494171,0.9854893632615053,1.2096177010495126,1.0048995516555332,0.5748545527458191,0.2238853424787521,1.121458888053894,0.7425034046173096
Thrombin,1b,-8.46,96.56705412602587,0.9842140754703372,1.4741271110780734,1.3205518175718416,0.5595707297325134,0.2317285984754562,1.112979292869568,0.6033431887626648
Thrombin,3b,-7.86,96.10765936744737,0.9838927270387927,1.038478391501424,0.9522299650264392,0.5197699069976807,0.2492085546255111,1.0791391134262085,0.6039414405822754
Thrombin,1a,-7.48,96.44536012570964,0.9788277650770434,1.452550868300316,1.3222078191829147,0.5418971180915833,0.2363491207361221,1.1081923246383667,0.5785737633705139
Thrombin,7a,-8.22,96.0580346080153,0.9840758096183312,1.5022290094799386,1.336600081127817,0.5404262542724609,0.2268263101577758,1.1010353565216064,0.5831584334373474
Thrombin,1c,-8.56,96.50043953974661,0.9848870771423932,1.1786704945044584,0.9928408376523415,0.5408896207809448,0.2346978634595871,1.102460861206055,0.5876291990280151
TYK2,ejm_31,-9.54,90.99973936212201,0.9615832911027535,0.1752725686847017,0.1073773565985793,0.8592730164527893,1.0552133321762085,1.480277180671692,1.331766128540039
TYK2,ejm_49,-7.75,90.6917962480603,0.9521989046174623,0.2548936678396736,0.1317018047044781,0.8950135111808777,1.0483119487762451,1.479103922843933,1.323341727256775
TYK2,ejm_47,-9.7,90.85509543289578,0.9598723760957294,0.1910696606949811,0.1136182644442796,0.9004001021385193,1.0690301656723022,1.4038699865341189,1.363395094871521
TYK2,jmc_28,-10.98,90.66800795821972,0.9592943992929596,0.2035670347061322,0.1138282827119993,0.9729214310646056,1.0898809432983398,1.5142673254013062,1.4149184226989746
TYK2,ejm_55,-9.21,90.91680382831262,0.9590787257002377,0.7230732736366481,0.7115996347960849,0.8671422004699707,1.045445680618286,1.5183361768722534,1.3360481262207031
TYK2,ejm_54,-10.53,90.59252628341254,0.9598723915758403,1.983230869422058,1.97241135310072,0.9511431455612184,1.0657778978347778,1.5184895992279053,1.3722827434539795
TYK2,ejm_50,-8.98,91.05087574047577,0.9657401354626254,0.1826071909604774,0.1187962136006601,0.905474841594696,1.070396900177002,1.4689358472824097,1.3346657752990725
TYK2,ejm_42,-9.78,90.82320777623411,0.9624119141059364,0.1377511213332633,0.1197115852810881,0.9491470456123352,1.068210244178772,1.558604121208191,1.4493436813354492
TYK2,ejm_43,-8.26,90.84058124590389,0.9560369158344486,1.9959337646467987,1.97673685895156,1.019469141960144,1.0800366401672363,1.5698652267456057,1.3853914737701416
TYK2,jmc_30,-10.94,90.66692483650168,0.9571818233868623,0.2009043423171949,0.1087682882816716,0.8751990795135498,1.0176931619644165,1.466286301612854,1.403319001197815
TYK2,ejm_44,-7.42,90.66902397026927,0.9536876313398046,0.5093755794621304,0.1843989544148652,0.8961199522018433,1.069182515144348,1.5144615173339844,1.4622098207473757
TYK2,ejm_46,-11.31,90.88775866647163,0.9625921321436808,1.9876868058361807,1.9820826954569444,0.977864146232605,1.0504523515701294,1.5671014785766602,1.313421607017517
TYK2,ejm_48,-9.0,90.79953091646287,0.9551002197988113,1.9942077663167632,1.9801118593375613,0.8592109680175781,1.063381910324097,1.4203733205795288,1.3075183629989624
TYK2,jmc_27,-11.28,90.81142045737485,0.9587046626084642,1.981014819900817,1.9723248963276272,0.8413639664649963,1.0521433353424072,1.455399990081787,1.3736464977264404
TYK2,ejm_45,-9.56,90.86677105850427,0.9652337795037821,0.1638601363532766,0.1095595599310206,0.8859295845031738,1.0576592683792114,1.5385700464248655,1.3424447774887085
